NIBRS,DESCRIPTION,CRIME AGAINST,GROUP
200,ARSON,PROPERTY,A
13A,AGGRAVATED ASSAULT,PERSON,A
13B,SIMPLE ASSAULT,PERSON,A
13C,INTIMIDATION,PERSON,A
510,BRIBERY,PROPERTY,A
220,BURGLARY/BREAKING & ENTERING,PROPERTY,A
250,COUNTERFEITING/FORGERY,PROPERTY,A
290,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,PROPERTY,A
35A,DRUG/NARCOTIC VIOLATIONS,SOCIETY,A
35B,DRUG EQUIPMENT VIOLATIONS,SOCIETY,A
270,EMBEZZLEMENT,PROPERTY,A
210,EXTORTION/BLACKMAIL,PROPERTY,A
26A,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,PROPERTY,A
26B,CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD,PROPERTY,A
26C,IMPERSONATION,PROPERTY,A
26D,WELFARE FRAUD,PROPERTY,A
26E,WIRE FRAUD,PROPERTY,A
39A,BETTING/WAGERING,SOCIETY,A
39B,OPERATING/PROMOTING/ASSISTING GAMBLING,SOCIETY,A
39C,GAMBLING EQUIPMENT VIOLATIONS,SOCIETY,A
39D,SPORTS TAMPERING,SOCIETY,A
09A,MURDER & NONNEGLIGENT MANSLAUGHTER,PERSON,A
09B,NEGLIGENT MANSLAUGHTER,PERSON,A
09C,JUSTIFIABLE HOMICIDE,PERSON/NOT A CRIME,A
100,KIDNAPPING/ABDUCTION,PERSON,A
23A,POCKET-PICKING,PROPERTY,A
23B,PURSE-SNATCHING,PROPERTY,A
23C,SHOPLIFTING,PROPERTY,A
23D,THEFT FROM BUILDING,PROPERTY,A
23E,THEFT FROM COIN-OPERATED MACHINE OR DEVICE,PROPERTY,A
23F,THEFT FROM MOTOR VEHICLE,PROPERTY,A
23G,THEFT OF MOTOR VEHICLE PARTS OF ACCESSORIES,PROPERTY,A
23H,ALL OTHER LARCENY,PROPERTY,A
240,MOTOR VEHICLE THEFT,PROPERTY,A
370,PORNOGRAPHY/OBSCENE MATERIAL,SOCIETY,A
40A,PROSTITUTION,SOCIETY,A
40B,ASSISTING OR PROMOTING PROSTITUTION,SOCIETY,A
120,ROBBERY,PROPERTY,A
11A,FORCIBLE RAPE,PERSON,A
11B,FORCIBLE SODOMY,PERSON,A
11C,SEXUAL ASSAULT WITH AN OBJECT,PERSON,A
11D,FORCIBLE FONDLING,PERSON,A
36A,INCEST,PERSON,A
36B,STATUTORY RAPE,PERSON,A
280,STOLEN PROPERTY OFFENSES,PROPERTY,A
520,WEAPON LAW VIOLATIONS,SOCIETY,A
90A,BAD CHECKS,PROPERTY,B
90B,CURFEW/LOITERING/VAGRANCY VIOLATIONS,SOCIETY,B
90C,DISORDERLY CONDUCT,SOCIETY,B
90D,DRIVING UNDER THE INFLUENCE,SOCIETY,B
90E,DRUNKENNESS,SOCIETY,B
90F,"FAMILY OFFENSES, NONVIOLENT",SOCIETY,B
90G,LIQUOR LAW VIOLATIONS,SOCIETY,B
90H,PEEPING TOM,SOCIETY,B
90I,RUNAWAY,NOT A CRIME,B
90J,TRESPASS OF REAL PROPERTY,SOCIETY,B
90Z,ALL OTHER OFFENCES,PERSON/PROPERTY/SOCIETY,B
