CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE163990,2020-11-23T15:05:00,073XX S SOUTH SHORE DR,820,THEFT,$500 AND UNDER,APARTMENT,False,N,,7,6,,,,,
JE266628,2021-06-15T09:30:00,080XX S DREXEL AVE,820,THEFT,$500 AND UNDER,STREET,False,N,,8,6,1183633,1851786,41.74849,-87.6027,"(41.748486365, -87.602675062)"
JE266536,2021-06-15T07:50:00,042XX W MADISON ST,560,ASSAULT,SIMPLE,SIDEWALK,False,N,,28,08A,1148227,1899678,41.88066,-87.7312,"(41.880660786, -87.731186405)"
JE266663,2021-06-15T08:40:00,044XX N ARTESIAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,N,False,1911,,11,,,,,,
JE266959,2021-06-15T13:30:00,018XX N DAMEN AVE,460,BATTERY,SIMPLE,PARK PROPERTY,False,N,,32,08B,1162738,1912139,41.91456,-87.6776,"(41.914562993, -87.677553434)"
JE267466,2021-06-15T21:01:00,007XX S KEDZIE AVE,051B,ASSAULT,AGGRAVATED - OTHER FIREARM,SIDEWALK,True,N,,24,04A,1155154,1896404,41.87154,-87.7058,"(41.87154041, -87.705838807)"
JE266473,2021-06-15T07:47:00,062XX S MORGAN ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,N,,16,01A,1170714,1863474,41.78085,-87.6497,"(41.780850996, -87.649674221)"
JE267222,2021-06-15T01:55:00,015XX S KENNETH AVE,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,APARTMENT,False,Y,,24,26,1146970,1892136,41.85999,-87.736,"(41.859988733, -87.73599476)"
JE266604,2021-06-15T09:20:00,013XX W ANCONA ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,N,,1,04B,1167362,1904648,41.89391,-87.6608,"(41.893908928, -87.660781353)"
JE266568,2021-06-15T01:30:00,055XX N MC VICKER AVE,810,THEFT,OVER $500,STREET,False,N,1622,45,6,1134905,1936579,41.98217,-87.7792,"(41.982167364, -87.779228689)"
JE267023,2021-06-15T15:03:00,082XX S STONY ISLAND AVE,460,BATTERY,SIMPLE,STREET,False,N,411,8,08B,1188236,1850761,41.74557,-87.5858,"(41.745565169, -87.585840919)"
JE267234,2021-06-15T16:45:00,107XX S GREEN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,Y,2233,34,08B,1172556,1833609,41.69886,-87.6438,"(41.698857058, -87.643798396)"
JE267494,2021-06-15T23:04:00,052XX S ARTESIAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,N,923,14,01A,1160923,1869959,41.79885,-87.6854,"(41.798854705, -87.685390881)"
JE267500,2021-06-15T22:20:00,040XX W 115TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,False,N,2211,19,14,1151309,1828012,41.68394,-87.7217,"(41.683938235, -87.721741177)"
JE266437,2021-06-15T03:09:00,078XX S ADA ST,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,APARTMENT,False,N,612,17,15,1168802,1852756,41.75148,-87.657,"(41.751480925, -87.656992959)"
JE266989,2021-06-15T14:20:00,051XX N LINCOLN AVE,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,False,N,2031,40,26,1158555,1934254,41.97533,-87.6923,"(41.975334679, -87.692313579)"
JE267088,2021-06-15T15:35:00,030XX N CLARK ST,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,N,1934,44,6,1170665,1920334,41.93688,-87.6482,"(41.936880447, -87.648190373)"
JE266473,2021-06-15T07:55:00,062XX S MORGAN ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,N,712,16,01A,1170714,1863474,41.78085,-87.6497,"(41.780850996, -87.649674221)"
JE267319,2021-06-15T19:09:00,045XX W ALTGELD ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,N,2521,31,11,1145637,1916295,41.92631,-87.7403,"(41.92630909, -87.74027493)"
JE267295,2021-06-15T18:08:00,002XX N MAYFIELD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,Y,1512,29,08B,1137120,1901058,41.88465,-87.7719,"(41.884654292, -87.771937787)"
