CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE163990,11/23/2020 03:05:00 PM,073XX S SOUTH SHORE DR,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,334,7,06,,,,,
JE266628,06/15/2021 09:30:00 AM,080XX S DREXEL AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,631,8,06,1183633,1851786,41.748486365,-87.602675062,"(41.748486365, -87.602675062)"
JE266536,06/15/2021 07:50:00 AM,042XX W MADISON ST,0560,ASSAULT,SIMPLE,SIDEWALK,N,N,1115,28,08A,1148227,1899678,41.880660786,-87.731186405,"(41.880660786, -87.731186405)"
JE266663,06/15/2021 08:40:00 AM,044XX N ARTESIAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,N,N,1911,47,11,,,,,
JE266959,06/15/2021 01:30:00 PM,018XX N DAMEN AVE,0460,BATTERY,SIMPLE,PARK PROPERTY,N,N,1434,32,08B,1162738,1912139,41.914562993,-87.677553434,"(41.914562993, -87.677553434)"
JE267466,06/15/2021 09:01:00 PM,007XX S KEDZIE AVE,051B,ASSAULT,AGGRAVATED - OTHER FIREARM,SIDEWALK,Y,N,1134,24,04A,1155154,1896404,41.87154041,-87.705838807,"(41.87154041, -87.705838807)"
JE266473,06/15/2021 07:47:00 AM,062XX S MORGAN ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,N,N,712,16,01A,1170714,1863474,41.780850996,-87.649674221,"(41.780850996, -87.649674221)"
JE267222,06/15/2021 01:55:00 AM,015XX S KENNETH AVE,4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,APARTMENT,N,Y,1012,24,26,1146970,1892136,41.859988733,-87.73599476,"(41.859988733, -87.73599476)"
JE266604,06/15/2021 09:20:00 AM,013XX W ANCONA ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,1215,1,04B,1167362,1904648,41.893908928,-87.660781353,"(41.893908928, -87.660781353)"
JE266568,06/15/2021 01:30:00 AM,055XX N MC VICKER AVE,0810,THEFT,OVER $500,STREET,N,N,1622,45,06,1134905,1936579,41.982167364,-87.779228689,"(41.982167364, -87.779228689)"
JE267023,06/15/2021 03:03:00 PM,082XX S STONY ISLAND AVE,0460,BATTERY,SIMPLE,STREET,N,N,411,8,08B,1188236,1850761,41.745565169,-87.585840919,"(41.745565169, -87.585840919)"
JE267234,06/15/2021 04:45:00 PM,107XX S GREEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2233,34,08B,1172556,1833609,41.698857058,-87.643798396,"(41.698857058, -87.643798396)"
JE267494,06/15/2021 11:04:00 PM,052XX S ARTESIAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,923,14,01A,1160923,1869959,41.798854705,-87.685390881,"(41.798854705, -87.685390881)"
JE267500,06/15/2021 10:20:00 PM,040XX W 115TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,N,N,2211,19,14,1151309,1828012,41.683938235,-87.721741177,"(41.683938235, -87.721741177)"
JE266437,06/15/2021 03:09:00 AM,078XX S ADA ST,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,APARTMENT,N,N,612,17,15,1168802,1852756,41.751480925,-87.656992959,"(41.751480925, -87.656992959)"
JE266989,06/15/2021 02:20:00 PM,051XX N LINCOLN AVE,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,N,N,2031,40,26,1158555,1934254,41.975334679,-87.692313579,"(41.975334679, -87.692313579)"
JE267088,06/15/2021 03:35:00 PM,030XX N CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1934,44,06,1170665,1920334,41.936880447,-87.648190373,"(41.936880447, -87.648190373)"
JE266473,06/15/2021 07:55:00 AM,062XX S MORGAN ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,N,N,712,16,01A,1170714,1863474,41.780850996,-87.649674221,"(41.780850996, -87.649674221)"
JE267319,06/15/2021 07:09:00 PM,045XX W ALTGELD ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,2521,31,11,1145637,1916295,41.92630909,-87.74027493,"(41.92630909, -87.74027493)"
JE267295,06/15/2021 06:08:00 PM,002XX N MAYFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1512,29,08B,1137120,1901058,41.884654292,-87.771937787,"(41.884654292, -87.771937787)"
JE267345,06/15/2021 04:30:00 PM,042XX N ELSTON AVE,0810,THEFT,OVER $500,STREET,N,N,1723,39,06,1149542,1927916,41.95812305,-87.725623029,"(41.95812305, -87.725623029)"
JE266996,06/15/2021 01:00:00 PM,010XX W ROOSEVELT RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1232,25,14,1169272,1894871,41.867038835,-87.654050797,"(41.867038835, -87.654050797)"
JE267206,06/15/2021 05:20:00 PM,048XX N PULASKI RD,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1712,39,08B,1148853,1931908,41.969090767,-87.728052386,"(41.969090767, -87.728052386)"
JE266968,06/15/2021 06:00:00 AM,004XX E 88TH ST,0820,THEFT,$500 AND UNDER,ALLEY,N,N,632,9,06,1180754,1846736,41.734695188,-87.613379443,"(41.734695188, -87.613379443)"
JE267218,06/15/2021 05:00:00 PM,045XX N KOSTNER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1722,39,08B,1146021,1929857,41.963517097,-87.738518074,"(41.963517097, -87.738518074)"
JE266443,06/15/2021 03:00:00 AM,050XX W ADDISON ST,1020,ARSON,BY FIRE,STREET,N,N,1634,30,09,1142212,1923467,41.946054074,-87.752681854,"(41.946054074, -87.752681854)"
JE267430,06/15/2021 08:40:00 PM,038XX S PARNELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,915,11,08A,1173256,1879563,41.824945009,-87.639878895,"(41.824945009, -87.639878895)"
JE266416,06/15/2021 12:15:00 AM,115XX S YALE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE - PORCH / HALLWAY,N,Y,522,34,26,1176675,1828470,41.684663397,-87.628870501,"(41.684663397, -87.628870501)"
JE266853,06/15/2021 09:43:00 AM,077XX S YATES BLVD,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,421,7,08A,1193543,1854043,41.754443092,-87.566288239,"(41.754443092, -87.566288239)"
JE266537,06/15/2021 08:10:00 AM,099XX S WESTERN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,2213,19,07,1162136,1838580,41.712720927,-87.681813981,"(41.712720927, -87.681813981)"
JE266578,06/15/2021 09:10:00 AM,010XX E 79TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,624,8,04B,1184509,1852836,41.751347216,-87.59943231,"(41.751347216, -87.59943231)"
JE267110,06/15/2021 04:20:00 AM,001XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,114,42,06,1177271,1901522,41.885112119,-87.624484053,"(41.885112119, -87.624484053)"
JE267092,06/15/2021 08:25:00 AM,029XX N LINDER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2514,31,14,1139193,1919067,41.934035613,-87.763886276,"(41.934035613, -87.763886276)"
JE266388,06/15/2021 12:45:00 AM,011XX N LAKE SHORE DR,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,N,N,1824,2,01A,1177197,1907909,41.902640036,-87.624562043,"(41.902640036, -87.624562043)"
JE267498,06/15/2021 10:45:00 PM,038XX W FLOURNOY ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,N,N,1133,24,01A,1150880,1896755,41.872588258,-87.721521251,"(41.872588258, -87.721521251)"
JE267253,06/15/2021 01:00:00 AM,033XX N KENNETH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1731,30,08B,1146127,1921794,41.941389537,-87.738334157,"(41.941389537, -87.738334157)"
